task,implant_type,model_type,subject,accuracy
doorway,12_10,pointy,ABa,0.8611111111111112
doorway,12_10,pointy,ANa,0.9201388888888888
doorway,12_10,pointy,AWa,0.8472222222222222
doorway,12_10,pointy,AZa,0.8541666666666666
doorway,12_10,pointy,BAa,0.8784722222222222
doorway,12_10,pointy,GNa,0.8958333333333334
doorway,12_10,pointy,GSa,0.8333333333333334
doorway,12_10,pointy,JHa,0.9097222222222222
doorway,12_10,pointy,KMa,0.8993055555555556
doorway,12_10,pointy,LEa,0.8194444444444444
doorway,12_10,pointy,NHa,0.8194444444444444
doorway,12_10,pointy,URa,0.9409722222222222
doorway,12_10,streaky,ABa,0.8576388888888888
doorway,12_10,streaky,ANa,0.9097222222222222
doorway,12_10,streaky,AWa,0.8576388888888888
doorway,12_10,streaky,AZa,0.8159722222222222
doorway,12_10,streaky,BAa,0.8611111111111112
doorway,12_10,streaky,GNa,0.8645833333333334
doorway,12_10,streaky,GSa,0.7881944444444444
doorway,12_10,streaky,JHa,0.8888888888888888
doorway,12_10,streaky,KMa,0.8576388888888888
doorway,12_10,streaky,LEa,0.8368055555555556
doorway,12_10,streaky,NHa,0.9305555555555556
doorway,12_10,streaky,URa,0.8090277777777778
doorway,12_20,pointy,ABa,0.9513888888888888
doorway,12_20,pointy,ANa,0.9618055555555556
doorway,12_20,pointy,AWa,0.9097222222222222
doorway,12_20,pointy,AZa,0.90625
doorway,12_20,pointy,BAa,0.9340277777777778
doorway,12_20,pointy,GNa,0.9826388888888888
doorway,12_20,pointy,GSa,0.8680555555555556
doorway,12_20,pointy,JHa,0.9305555555555556
doorway,12_20,pointy,KMa,0.9618055555555556
doorway,12_20,pointy,LEa,0.8854166666666666
doorway,12_20,pointy,NHa,0.9513888888888888
doorway,12_20,pointy,URa,0.9548611111111112
doorway,12_20,streaky,ABa,0.8993055555555556
doorway,12_20,streaky,ANa,0.9340277777777778
doorway,12_20,streaky,AWa,0.9027777777777778
doorway,12_20,streaky,AZa,0.8333333333333334
doorway,12_20,streaky,BAa,0.8993055555555556
doorway,12_20,streaky,GNa,0.9027777777777778
doorway,12_20,streaky,GSa,0.8125
doorway,12_20,streaky,JHa,0.9236111111111112
doorway,12_20,streaky,KMa,0.8888888888888888
doorway,12_20,streaky,LEa,0.8194444444444444
doorway,12_20,streaky,NHa,0.8506944444444444
doorway,12_20,streaky,URa,0.9027777777777778
doorway,6_10,pointy,ABa,0.7743055555555556
doorway,6_10,pointy,ANa,0.8402777777777778
doorway,6_10,pointy,AWa,0.9097222222222222
doorway,6_10,pointy,AZa,0.9270833333333334
doorway,6_10,pointy,BAa,0.8819444444444444
doorway,6_10,pointy,GNa,0.8923611111111112
doorway,6_10,pointy,GSa,0.7256944444444444
doorway,6_10,pointy,JHa,0.8298611111111112
doorway,6_10,pointy,KMa,0.7638888888888888
doorway,6_10,pointy,LEa,0.7361111111111112
doorway,6_10,pointy,NHa,0.8958333333333334
doorway,6_10,pointy,URa,0.7534722222222222
doorway,6_10,streaky,ABa,0.8368055555555556
doorway,6_10,streaky,ANa,0.8506944444444444
doorway,6_10,streaky,AWa,0.8888888888888888
doorway,6_10,streaky,AZa,0.8506944444444444
doorway,6_10,streaky,BAa,0.7118055555555556
doorway,6_10,streaky,GNa,0.78125
doorway,6_10,streaky,GSa,0.5034722222222222
doorway,6_10,streaky,JHa,0.7256944444444444
doorway,6_10,streaky,KMa,0.7951388888888888
doorway,6_10,streaky,LEa,0.7291666666666666
doorway,6_10,streaky,NHa,0.8854166666666666
doorway,6_10,streaky,URa,0.7118055555555556
doorway,6_15,pointy,ABa,0.8541666666666666
doorway,6_15,pointy,ANa,0.8715277777777778
doorway,6_15,pointy,AWa,0.8472222222222222
doorway,6_15,pointy,AZa,0.8923611111111112
doorway,6_15,pointy,BAa,0.8506944444444444
doorway,6_15,pointy,GNa,0.8715277777777778
doorway,6_15,pointy,GSa,0.8090277777777778
doorway,6_15,pointy,JHa,0.8576388888888888
doorway,6_15,pointy,KMa,0.8472222222222222
doorway,6_15,pointy,LEa,0.7291666666666666
doorway,6_15,pointy,NHa,0.8819444444444444
doorway,6_15,pointy,URa,0.8472222222222222
doorway,6_15,streaky,ABa,0.8993055555555556
doorway,6_15,streaky,ANa,0.8680555555555556
doorway,6_15,streaky,AWa,0.8298611111111112
doorway,6_15,streaky,AZa,0.7256944444444444
doorway,6_15,streaky,BAa,0.6979166666666666
doorway,6_15,streaky,GNa,0.8333333333333334
doorway,6_15,streaky,GSa,0.4965277777777778
doorway,6_15,streaky,JHa,0.8090277777777778
doorway,6_15,streaky,KMa,0.8055555555555556
doorway,6_15,streaky,LEa,0.7847222222222222
doorway,6_15,streaky,NHa,0.8298611111111112
doorway,6_15,streaky,URa,0.7743055555555556
doorway,6_20,pointy,ABa,0.8368055555555556
doorway,6_20,pointy,ANa,0.8819444444444444
doorway,6_20,pointy,AWa,0.875
doorway,6_20,pointy,AZa,0.8854166666666666
doorway,6_20,pointy,BAa,0.8229166666666666
doorway,6_20,pointy,GNa,0.875
doorway,6_20,pointy,GSa,0.71875
doorway,6_20,pointy,JHa,0.8472222222222222
doorway,6_20,pointy,KMa,0.8715277777777778
doorway,6_20,pointy,LEa,0.9131944444444444
doorway,6_20,pointy,NHa,0.8506944444444444
doorway,6_20,pointy,URa,0.8715277777777778
doorway,6_20,streaky,ABa,0.8958333333333334
doorway,6_20,streaky,ANa,0.8541666666666666
doorway,6_20,streaky,AWa,0.8576388888888888
doorway,6_20,streaky,AZa,0.7847222222222222
doorway,6_20,streaky,BAa,0.8159722222222222
doorway,6_20,streaky,GNa,0.9027777777777778
doorway,6_20,streaky,GSa,0.5416666666666666
doorway,6_20,streaky,JHa,0.8194444444444444
doorway,6_20,streaky,KMa,0.8263888888888888
doorway,6_20,streaky,LEa,0.8194444444444444
doorway,6_20,streaky,NHa,0.84375
doorway,6_20,streaky,URa,0.8159722222222222
doorway,9_10,pointy,ABa,0.8055555555555556
doorway,9_10,pointy,ANa,0.8645833333333334
doorway,9_10,pointy,AWa,0.8680555555555556
doorway,9_10,pointy,AZa,0.8958333333333334
doorway,9_10,pointy,BAa,0.8055555555555556
doorway,9_10,pointy,GNa,0.8611111111111112
doorway,9_10,pointy,GSa,0.8194444444444444
doorway,9_10,pointy,JHa,0.875
doorway,9_10,pointy,KMa,0.8645833333333334
doorway,9_10,pointy,LEa,0.7465277777777778
doorway,9_10,pointy,NHa,0.9131944444444444
doorway,9_10,pointy,URa,0.8645833333333334
doorway,9_10,streaky,ABa,0.8368055555555556
doorway,9_10,streaky,ANa,0.875
doorway,9_10,streaky,AWa,0.8576388888888888
doorway,9_10,streaky,AZa,0.8576388888888888
doorway,9_10,streaky,BAa,0.84375
doorway,9_10,streaky,GNa,0.8125
doorway,9_10,streaky,GSa,0.7638888888888888
doorway,9_10,streaky,JHa,0.8645833333333334
doorway,9_10,streaky,KMa,0.8298611111111112
doorway,9_10,streaky,LEa,0.84375
doorway,9_10,streaky,NHa,0.9479166666666666
doorway,9_10,streaky,URa,0.8368055555555556
emotion,12_20,pointy,ABa,0.6833333333333333
emotion,12_20,pointy,ANa,0.5416666666666666
emotion,12_20,pointy,AWa,0.5416666666666666
emotion,12_20,pointy,AZa,0.65
emotion,12_20,pointy,BAa,0.6
emotion,12_20,pointy,EBa,0.575
emotion,12_20,pointy,ECa,0.6
emotion,12_20,pointy,EDa,0.625
emotion,12_20,pointy,EKa,0.6416666666666667
emotion,12_20,pointy,GSa,0.575
emotion,12_20,pointy,LEa,0.675
emotion,12_20,pointy,URa,0.6416666666666667
emotion,12_20,streaky,ABa,0.6583333333333333
emotion,12_20,streaky,ANa,0.5166666666666667
emotion,12_20,streaky,AWa,0.5416666666666666
emotion,12_20,streaky,AZa,0.6083333333333333
emotion,12_20,streaky,BAa,0.525
emotion,12_20,streaky,EBa,0.5333333333333333
emotion,12_20,streaky,ECa,0.5916666666666667
emotion,12_20,streaky,EDa,0.6
emotion,12_20,streaky,EKa,0.5666666666666667
emotion,12_20,streaky,GSa,0.5
emotion,12_20,streaky,LEa,0.5666666666666667
emotion,12_20,streaky,URa,0.5083333333333333
emotion,6_15,pointy,ABa,0.5583333333333333
emotion,6_15,pointy,ANa,0.5333333333333333
emotion,6_15,pointy,AWa,0.6083333333333333
emotion,6_15,pointy,AZa,0.4666666666666667
emotion,6_15,pointy,BAa,0.48333333333333334
emotion,6_15,pointy,EBa,0.4666666666666667
emotion,6_15,pointy,ECa,0.55
emotion,6_15,pointy,EDa,0.5083333333333333
emotion,6_15,pointy,EKa,0.625
emotion,6_15,pointy,GSa,0.5583333333333333
emotion,6_15,pointy,LEa,0.575
emotion,6_15,pointy,URa,0.45
emotion,6_15,streaky,ABa,0.5583333333333333
emotion,6_15,streaky,ANa,0.5416666666666666
emotion,6_15,streaky,AWa,0.5583333333333333
emotion,6_15,streaky,AZa,0.49166666666666664
emotion,6_15,streaky,BAa,0.43333333333333335
emotion,6_15,streaky,EBa,0.48333333333333334
emotion,6_15,streaky,ECa,0.49166666666666664
emotion,6_15,streaky,EDa,0.475
emotion,6_15,streaky,EKa,0.44166666666666665
emotion,6_15,streaky,GSa,0.625
emotion,6_15,streaky,LEa,0.49166666666666664
emotion,6_15,streaky,URa,0.48333333333333334
shape,12_10,pointy,ABa,0.6875
shape,12_10,pointy,ANa,0.7541666666666667
shape,12_10,pointy,AWa,0.6791666666666667
shape,12_10,pointy,AZa,0.7166666666666667
shape,12_10,pointy,BAa,0.6916666666666667
shape,12_10,pointy,EBa,0.7291666666666666
shape,12_10,pointy,EKa,0.7083333333333334
shape,12_10,pointy,JHa,0.7708333333333334
shape,12_10,pointy,KMa,0.75
shape,12_10,pointy,PBa,0.6333333333333333
shape,12_10,pointy,URa,0.3458333333333333
shape,12_10,pointy,ZZa,0.7416666666666667
shape,12_10,streaky,ABa,0.7291666666666666
shape,12_10,streaky,ANa,0.6625
shape,12_10,streaky,AWa,0.6041666666666666
shape,12_10,streaky,AZa,0.725
shape,12_10,streaky,BAa,0.6666666666666666
shape,12_10,streaky,EBa,0.7041666666666667
shape,12_10,streaky,EKa,0.675
shape,12_10,streaky,JHa,0.6583333333333333
shape,12_10,streaky,KMa,0.7041666666666667
shape,12_10,streaky,PBa,0.6041666666666666
shape,12_10,streaky,URa,0.675
shape,12_10,streaky,ZZa,0.625
shape,12_20,pointy,ABa,0.9625
shape,12_20,pointy,ANa,0.6208333333333333
shape,12_20,pointy,AWa,0.975
shape,12_20,pointy,AZa,0.9625
shape,12_20,pointy,BAa,0.95
shape,12_20,pointy,EBa,0.9541666666666667
shape,12_20,pointy,EKa,0.925
shape,12_20,pointy,JHa,0.9666666666666667
shape,12_20,pointy,KMa,0.9541666666666667
shape,12_20,pointy,PBa,0.9416666666666667
shape,12_20,pointy,URa,0.925
shape,12_20,pointy,ZZa,0.9
shape,12_20,streaky,ABa,0.925
shape,12_20,streaky,ANa,0.8791666666666667
shape,12_20,streaky,AWa,0.8583333333333333
shape,12_20,streaky,AZa,0.8416666666666667
shape,12_20,streaky,BAa,0.8791666666666667
shape,12_20,streaky,EBa,0.8458333333333333
shape,12_20,streaky,EKa,0.8583333333333333
shape,12_20,streaky,JHa,0.825
shape,12_20,streaky,KMa,0.8666666666666667
shape,12_20,streaky,PBa,0.8458333333333333
shape,12_20,streaky,URa,0.8208333333333333
shape,12_20,streaky,ZZa,0.8583333333333333
shape,6_10,pointy,ABa,0.5541666666666667
shape,6_10,pointy,ANa,0.6291666666666667
shape,6_10,pointy,AWa,0.5
shape,6_10,pointy,AZa,0.5166666666666667
shape,6_10,pointy,BAa,0.5375
shape,6_10,pointy,EBa,0.49583333333333335
shape,6_10,pointy,EKa,0.3416666666666667
shape,6_10,pointy,JHa,0.4708333333333333
shape,6_10,pointy,KMa,0.43333333333333335
shape,6_10,pointy,PBa,0.3958333333333333
shape,6_10,pointy,URa,0.55
shape,6_10,pointy,ZZa,0.5
shape,6_10,streaky,ABa,0.5416666666666666
shape,6_10,streaky,ANa,0.5125
shape,6_10,streaky,AWa,0.5
shape,6_10,streaky,AZa,0.48333333333333334
shape,6_10,streaky,BAa,0.4166666666666667
shape,6_10,streaky,EBa,0.5125
shape,6_10,streaky,EKa,0.525
shape,6_10,streaky,JHa,0.5041666666666667
shape,6_10,streaky,KMa,0.525
shape,6_10,streaky,PBa,0.4583333333333333
shape,6_10,streaky,URa,0.525
shape,6_10,streaky,ZZa,0.44583333333333336
shape,6_15,pointy,ABa,0.7458333333333333
shape,6_15,pointy,ANa,0.6916666666666667
shape,6_15,pointy,AWa,0.6666666666666666
shape,6_15,pointy,AZa,0.7083333333333334
shape,6_15,pointy,BAa,0.6583333333333333
shape,6_15,pointy,EBa,0.7416666666666667
shape,6_15,pointy,EKa,0.6666666666666666
shape,6_15,pointy,JHa,0.7291666666666666
shape,6_15,pointy,KMa,0.6708333333333333
shape,6_15,pointy,PBa,0.6208333333333333
shape,6_15,pointy,URa,0.6833333333333333
shape,6_15,pointy,ZZa,0.6875
shape,6_15,streaky,ABa,0.7375
shape,6_15,streaky,ANa,0.525
shape,6_15,streaky,AWa,0.65
shape,6_15,streaky,AZa,0.65
shape,6_15,streaky,BAa,0.6291666666666667
shape,6_15,streaky,EBa,0.6708333333333333
shape,6_15,streaky,EKa,0.6083333333333333
shape,6_15,streaky,JHa,0.6041666666666666
shape,6_15,streaky,KMa,0.6833333333333333
shape,6_15,streaky,PBa,0.6625
shape,6_15,streaky,URa,0.6625
shape,6_15,streaky,ZZa,0.65
shape,6_20,pointy,ABa,0.7958333333333333
shape,6_20,pointy,ANa,0.7791666666666667
shape,6_20,pointy,AWa,0.7333333333333333
shape,6_20,pointy,AZa,0.85
shape,6_20,pointy,BAa,0.8
shape,6_20,pointy,EBa,0.7625
shape,6_20,pointy,EKa,0.7291666666666666
shape,6_20,pointy,JHa,0.765625
shape,6_20,pointy,KMa,0.725
shape,6_20,pointy,PBa,0.6958333333333333
shape,6_20,pointy,URa,0.7875
shape,6_20,pointy,ZZa,0.7666666666666667
shape,6_20,streaky,ABa,0.7208333333333333
shape,6_20,streaky,ANa,0.7583333333333333
shape,6_20,streaky,AWa,0.7
shape,6_20,streaky,AZa,0.7
shape,6_20,streaky,BAa,0.6541666666666667
shape,6_20,streaky,EBa,0.6791666666666667
shape,6_20,streaky,EKa,0.7041666666666667
shape,6_20,streaky,JHa,0.3875
shape,6_20,streaky,KMa,0.6041666666666666
shape,6_20,streaky,PBa,0.6708333333333333
shape,6_20,streaky,URa,0.7583333333333333
shape,6_20,streaky,ZZa,0.7375
shape,9_10,pointy,ABa,0.30833333333333335
shape,9_10,pointy,ANa,0.6958333333333333
shape,9_10,pointy,AWa,0.5375
shape,9_10,pointy,AZa,0.6291666666666667
shape,9_10,pointy,BAa,0.625
shape,9_10,pointy,EBa,0.6541666666666667
shape,9_10,pointy,EKa,0.5791666666666667
shape,9_10,pointy,JHa,0.6333333333333333
shape,9_10,pointy,KMa,0.7083333333333334
shape,9_10,pointy,PBa,0.5625
shape,9_10,pointy,URa,0.7041666666666667
shape,9_10,pointy,ZZa,0.65
shape,9_10,streaky,ABa,0.6916666666666667
shape,9_10,streaky,ANa,0.6041666666666666
shape,9_10,streaky,AWa,0.6208333333333333
shape,9_10,streaky,AZa,0.625
shape,9_10,streaky,BAa,0.6125
shape,9_10,streaky,EBa,0.6333333333333333
shape,9_10,streaky,EKa,0.49166666666666664
shape,9_10,streaky,JHa,0.5166666666666667
shape,9_10,streaky,KMa,0.6625
shape,9_10,streaky,PBa,0.5333333333333333
shape,9_10,streaky,URa,0.65
shape,9_10,streaky,ZZa,0.6333333333333333
